DTXSID,InChIKey
DTXSID8026727,GLZPCOQZEFWAFX-JXMROGBWSA-N
DTXSID3026728,GLZPCOQZEFWAFX-YFHOEESVSA-N
DTXSID4042337,MCSINKKTEDDPNK-UHFFFAOYSA-N
DTXSID7021869,IWDCLRJOBJJRNH-UHFFFAOYSA-N
DTXSID1020431,OCJBOOLMMGQPQU-UHFFFAOYSA-N
DTXSID9021138,CBCKQZAAMUWICA-UHFFFAOYSA-N
DTXSID1021873,CFVWNXQPGQOHRJ-UHFFFAOYSA-N
DTXSID5025152,MUXOBHXGJLMRAB-UHFFFAOYSA-N
DTXSID2026739,XFSAZBKSWGOXRH-UHFFFAOYSA-N
DTXSID5027356,WOXXJEVNDJOOLV-UHFFFAOYSA-N
DTXSID1026740,ALOUNLDAKADEEB-UHFFFAOYSA-N
DTXSID0025361,VOZRXNHHFUQHIL-UHFFFAOYSA-N
DTXSID3020415,PAAZPARNPHGIKF-UHFFFAOYSA-N
DTXSID6021874,CYNYIHKIEHGYOZ-UHFFFAOYSA-N
DTXSID1021877,SZIFAVKTNFCBPC-UHFFFAOYSA-N
DTXSID0042329,OLBGECWYBGXCNV-UHFFFAOYSA-N
DTXSID5020029,NLHHRLWOUZZQLW-UHFFFAOYSA-N
DTXSID8020044,XXROGKLTLUQVRX-UHFFFAOYSA-N
DTXSID8020597,LYCAIKOWRPUZTN-UHFFFAOYSA-N
DTXSID5025364,LEQAOMBKQFMDFZ-UHFFFAOYSA-N
DTXSID6020307,XJUZRXYOEPSWMB-UHFFFAOYSA-N
DTXSID3021304,XOAAWQZATWQOTB-UHFFFAOYSA-N
DTXSID5021885,SVTBMSDMJJWYQN-UHFFFAOYSA-N
DTXSID8022666,KWIUHFFTVRNATP-UHFFFAOYSA-N
DTXSID0021886,QIJIUJYANDSEKG-UHFFFAOYSA-N
DTXSID4026769,UQEAIHBTYFGYIE-UHFFFAOYSA-N
DTXSID9040710,CXQXSVUQTKDNFP-UHFFFAOYSA-N
DTXSID1040114,XFHJDMUEHUHAJW-UHFFFAOYSA-N
DTXSID2038788,PXGZQGDTEZPERC-UHFFFAOYSA-N
DTXSID0021888,XNLICIUVMPYHGG-UHFFFAOYSA-N
DTXSID8026773,PUPZLCDOIYMWBV-UHFFFAOYSA-N
DTXSID8021515,FERIUCNNQQJTOY-UHFFFAOYSA-N
DTXSID8026775,DKIDEFUBRARXTE-UHFFFAOYSA-N
DTXSID8024284,ARXJGSRGQADJSQ-UHFFFAOYSA-N
